PAROLA,FREQUENZA
the,7257556
and,5151309
of,3640506
to,2908447
a,2192844
in,1916540
that,1643971
i,1622282
he,1593127
it,1310923
his,1286012
for,1106713
was,1106368
with,1041789
is,889536
you,885640
as,860162
her,792877
not,773084
him,769701
be,733979
had,661444
all,660931
they,660305
but,656053
on,640262
s,636847
said,603471
which,582323
at,567011
she,551449
have,546900
my,539833
this,528124
me,504377
them,474200
by,473337
from,473301
shall,458123
so,443468
one,431174
there,381906
will,375244
are,371224
their,354904
t,353671
what,352240
if,352210
were,350931
when,344592
who,337565
no,333988
unto,325396
lord,311996
up,309933
or,301121
an,298060
out,288846
we,282667
thou,281002
man,272507
your,268345
do,258979
then,247098
don,245288
thy,237385
god,236143
now,233395
would,219219
into,215461
more,212795
been,202626
upon,201905
come,195948
like,194604
d,191792
thee,191201
good,179809
did,173907
ye,173543
little,172577
go,170852
day,169036
very,168728
before,168327
know,167990
made,165402
than,164957
some,163252
say,162246
came,159369
about,158375
time,157817
see,157562
any,155931
these,154657
can,154047
let,151672
great,151088
us,150567
well,150499
over,146698
down,144144
our,144006
two,142717
could,141898
has,140739
old,138978
hand,138705
himself,138384
how,137720
after,136364
only,136016
people,135052
may,132522
house,131668
jo,131293
am,130209
such,128627
make,128523
other,126752
father,126639
should,124618
even,124321
went,123475
way,120108
men,119361
take,116391
away,115978
son,115214
every,113869
where,113227
king,113059
eyes,110685
here,110358
much,108451
never,108130
those,107540
o,106960
without,105029
heart,103301
first,102473
quixote,102201
own,102193
children,100835
things,98824
give,98447
sancho,97213
though,96967
against,96404
m,95418
again,95210
put,94597
mr,93766
israel,92833
because,92763
ll,92113
must,91025
head,90278
mother,88709
through,88555
off,88408
life,88372
took,87753
long,86878
young,86331
face,86060
also,85542
tell,84723
hath,84368
many,83219
might,83056
nothing,82636
nor,82177
place,82006
saying,81684
too,81588
being,81442
love,81333
name,81035
while,80985
just,80519
think,77967
its,77408
once,77063
saw,76669
whom,76366
back,75188
yet,74380
same,73988
heard,73190
another,73150
hands,73121
thought,71930
ever,71233
land,71033
words,70890
night,70699
thus,70577
word,70239
most,70130
three,70031
done,68832
look,67812
why,67287
right,67129
left,66704
get,66540
meg,66269
woman,65917
thing,65730
still,65568
found,65279
among,65174
last,64784
voice,64192
days,63881
called,62813
amy,62795
full,62783
set,62586
brought,62584
chapter,62237
going,62220
looked,61952
under,61594
shalt,61542
earth,61327
poor,60947
gave,60276
world,60178
something,58905
mind,58630
child,57966
replied,57962
laurie,57622
got,57402
years,57228
round,56736
door,56632
always,56506
told,56322
behold,55990
asked,55870
heaven,55517
soul,55500
side,55440
having,55438
seemed,54958
whole,54886
master,54706
dear,54700
hear,54384
therefore,54204
both,53587
better,52985
seen,52491
work,52477
stood,52339
began,51845
room,51689
pass,50598
keep,50528
lady,50378
turned,49952
new,49839
each,49693
ve,48779
death,48670
light,48409
hast,48380
forth,48376
herself,48163
neither,48161
home,47870
end,47823
cried,47630
arms,47422
till,47116
moment,46770
anything,46622
mine,46478
bring,46332
fire,46259
boy,46235
speak,46232
sons,46151
tom,45633
given,45539
saith,45520
marius,45386
felt,45076
beth,45033
together,45023
sent,44850
whose,44805
hundred,44453
taken,44429
myself,44214
want,44117
find,43771
half,43628
themselves,43623
city,43512
dead,43072
high,43020
knew,42999
between,42745
four,42693
mrs,42664
help,42558
yes,42356
oliver,42096
air,42061
looking,42060
rather,41882
far,41842
won,41643
fell,41237
wife,41200
friend,40872
jean,40854
thine,40767
does,40351
lay,40253
soon,40103
part,39646
quite,39641
art,39608
david,38828
jesus,38826
gentleman,38795
sort,38741
girl,38401
thousand,38351
fear,38194
answered,38160
brother,37918
blood,37775
oh,37688
read,37678
alone,37621
de,37592
book,37299
rest,37036
valjean,36960
care,36877
according,36834
morning,36812
best,36641
enough,36615
few,36527
sat,36365
turn,36267
money,36264
spirit,35714
everything,35662
eat,35549
miss,35422
march,35395
gone,34875
feet,34701
course,34679
truth,34556
alyosha,34320
five,34252
water,34092
believe,33953
cosette,33759
happy,33560
sight,33560
returned,33493
call,33484
ground,33428
passed,33235
near,33210
behind,33124
thereof,32860
table,32757
evil,32462
fall,32267
leave,32132
above,32112
kind,31999
holy,31990
return,31937
true,31769
white,31676
girls,31662
bed,31617
war,31276
sir,31104
open,31093
daughter,31081
rose,31021
moses,30768
hard,30630
almost,30574
until,30562
law,30420
perhaps,30414
knight,30380
didn,30180
times,30178
mouth,30006
mean,29979
jerusalem,29898
hour,29844
power,29843
since,29767
certain,29745
order,29507
judah,29472
peace,29463
servants,29451
worship,29396
laid,29372
live,29370
feel,29232
matter,29226
offering,29170
next,29089
twenty,28981
year,28979
strong,28951
cast,28870
bear,28868
die,28861
hope,28493
arm,28424
whether,28423
suddenly,28282
hair,28231
hold,28071
sure,27809
wish,27803
short,27783
ask,27735
gold,27685
black,27656
women,27598
coming,27553
cannot,27467
servant,27333
kept,27322
sword,27277
known,27245
others,26989
small,26911
tears,26836
present,26790
field,26766
glory,26575
answer,26437
seven,26394
manner,26292
stand,26289
chief,26234
cut,26146
st,26082
used,26054
however,26042
already,25978
point,25883
family,25879
bread,25851
fair,25800
none,25713
six,25571
along,25498
second,25422
cause,25365
lost,25142
spoke,25101
christ,25096
john,25071
fine,24943
making,24850
wall,24847
priest,24746
taking,24708
fact,24602
gods,24367
eye,24113
body,24102
friends,24060
afraid,23982
added,23941
seeing,23911
held,23882
country,23881
show,23851
large,23782
plain,23734
says,23649
ready,23568
sea,23495
become,23322
try,23314
opened,23306
fathers,23137
send,23133
understand,23085
egypt,22827
need,22657
longer,22611
husband,22597
ah,22517
less,22485
often,22485
senor,22484
evening,22316
rue,22187
sleep,22133
aunt,22092
towards,22034
foot,22025
feeling,22024
bad,21969
remember,21964
story,21920
ought,21876
within,21745
mighty,21713
rich,21711
spake,21660
itself,21593
indeed,21586
sometimes,21529
pretty,21523
street,21512
sister,21490
strength,21455
close,21432
received,21402
state,21358
entered,21279
ten,21259
carried,21245
yourself,21188
sin,21146
brethren,20994
else,20988
er,20968
force,20953
pray,20897
talk,20871
silence,20844
comes,20820
person,20818
silver,20806
drink,20802
least,20795
letter,20746
faith,20660
loved,20631
clare,20608
fellow,20596
reason,20548
flesh,20492
window,20429
save,20421
glad,20402
case,20397
sound,20381
joy,20370
beauty,20315
drew,20283
wine,20256
dark,20226
minute,20212
appeared,20200
written,20186
use,20162
able,20071
hector,20053
vain,20033
low,19971
battle,19963
la,19936
tried,19926
midst,19846
sun,19790
stone,19714
george,19551
age,19548
wait,19530
broken,19524
doing,19512
gate,19512
followed,19509
living,19471
cold,19445
town,19388
wicked,19379
garden,19371
doubt,19358
jove,19348
raised,19171
cry,19125
bumble,19056
strange,19019
paris,18932
laugh,18863
walked,18824
walk,18811
fight,18781
beautiful,18779
ivan,18772
free,18724
died,18704
deep,18702
wise,18626
really,18581
ran,18502
boys,18492
horse,18487
nature,18487
trouble,18482
sweet,18466
re,18444
ill,18426
commanded,18372
run,18305
achilles,18117
except,18096
deal,18094
please,18000
isn,17976
lie,17954
business,17914
knows,17891
kings,17872
either,17843
idea,17828
cities,17823
saint,17816
corner,17797
stay,17761
around,17688
led,17685
thenardier,17622
born,17612
kingdom,17598
eva,17584
filled,17435
red,17416
books,17412
p,17403
road,17358
ophelia,17333
grave,17318
means,17281
chair,17183
jew,17183
river,17180
yer,17162
remained,17159
human,17135
seems,17126
wouldn,17124
spoken,17013
sikes,16992
toward,16939
question,16911
nations,16906
beside,16899
r,16895
became,16866
k,16812
rise,16781
mercy,16767
shut,16695
happened,16675
turning,16654
youth,16640
exclaimed,16623
blessed,16593
possible,16568
offer,16460
em,16446
dress,16424
paper,16378
fate,16334
beneath,16324
makes,16319
lips,16301
meet,16213
history,16193
couldn,16172
seem,16120
church,16117
grace,16096
beginning,16054
troy,16038
thoughts,16001
host,15979
write,15957
jpg,15928
mas,15892
number,15889
praise,15811
tone,15794
wanted,15777
secret,15743
honour,15684
breast,15639
proud,15633
length,15593
altar,15571
devil,15569
race,15568
third,15566
priests,15543
seek,15534
spite,15523
carry,15500
trees,15489
laughed,15485
general,15484
pay,15484
bound,15467
javert,15378
smile,15372
month,15368
slain,15352
saul,15176
darkness,15137
ways,15126
pleasure,15107
quiet,15107
past,15083
account,15073
form,15059
thirty,15042
bless,14965
desire,14959
twelve,14956
tree,14908
struck,14903
wind,14882
fagin,14832
fast,14796
wilt,14778
instant,14765
sit,14735
judgment,14727
worthy,14720
trying,14663
burnt,14628
presence,14626
big,14601
nice,14566
covered,14563
lies,14551
company,14533
breath,14519
wrath,14501
delivered,14492
several,14471
getting,14465
blue,14462
tongue,14452
morrow,14430
speaking,14430
ladies,14395
ear,14386
expression,14369
gathered,14329
anger,14326
sake,14300
serve,14293
appearance,14233
lest,14229
observed,14167
following,14153
reached,14140
comfort,14091
service,14069
size,14061
deliver,14058
early,14054
works,14026
terrible,14023
change,14019
sad,14016
hearts,13996
moreover,13984
jacob,13963
purpose,13962
offered,13957
caught,13916
angel,13849
walls,13845
talking,13843
receive,13832
wrong,13753
doctor,13716
waters,13702
daughters,13698
play,13681
pleasant,13677
heavy,13657
pocket,13647
curate,13640
bright,13638
hosts,13585
watch,13578
enter,13566
dwell,13533
places,13532
follow,13462
rage,13403
hat,13396
impossible,13375
congregation,13368
mount,13337
wherefore,13324
duke,13320
sitting,13314
stop,13308
tender,13306
easy,13293
stones,13293
thyself,13277
stranger,13272
haste,13258
judge,13254
wisdom,13220
standing,13173
errant,13168
sense,13105
ones,13088
surely,13080
elder,13025
flowers,13015
iron,13007
stopped,12966
giving,12965
silent,12956
break,12953
panza,12936
court,12923
letters,12921
forty,12903
enemies,12897
beyond,12873
society,12856
dulcinea,12848
late,12835
view,12828
ears,12811
green,12775
thank,12774
continued,12772
suppose,12765
sudden,12755
hours,12751
conversation,12735
promise,12732
heads,12727
duty,12711
dust,12704
placed,12677
waiting,12646
reply,12627
monsieur,12617
wood,12614
dreadful,12609
aaron,12600
loud,12598
fortune,12593
hannah,12572
spread,12566
piece,12565
princes,12562
pleased,12536
horses,12482
meat,12478
madame,12457
subject,12455
ass,12425
bow,12424
fallen,12411
sick,12400
liked,12378
ago,12362
lived,12301
bit,12291
yea,12284
certainly,12231
wild,12231
forward,12229
bold,12185
happiness,12174
greater,12126
trust,12073
whatever,12068
destroy,12067
thinking,12058
christian,12048
sign,12030
wilderness,12021
beast,12018
escape,12004
pale,12000
fifty,11997
clothes,11991
floor,11989
remain,11962
houses,11958
seed,11931
legree,11928
sacrifice,11928
front,11918
neck,11918
top,11917
fierce,11907
village,11872
spot,11870
real,11835
tabernacle,11808
creature,11796
shadow,11789
knights,11781
faces,11771
bare,11761
goes,11746
divine,11721
seat,11688
golden,11677
cross,11641
fly,11628
forget,11602
during,11511
brave,11490
eight,11479
simple,11472
fruit,11465
met,11447
sorrow,11443
ashamed,11431
countenance,11426
greece,11421
satisfied,11405
caused,11403
c,11401
believed,11388
dinner,11379
moved,11352
gentle,11350
effect,11344
shore,11340
pride,11336
shook,11330
perfect,11326
clock,11324
solomon,11324
noise,11312
laughing,11305
besides,11304
squire,11304
dare,11277
paid,11276
anyone,11264
lifted,11245
worse,11227
fancy,11205
righteousness,11180
party,11178
common,11173
worth,11166
trembling,11156
step,11143
glance,11112
later,11099
straight,11098
chance,11094
bishop,11078
steps,11060
shame,11057
nearly,11040
bore,11033
command,11031
fields,11003
further,10979
coat,10977
wide,10961
self,10960
knowing,10945
departed,10936
kill,10925
haven,10922
respect,10916
line,10915
asleep,10900
laurence,10899
nevertheless,10845
ancient,10840
gentlemen,10836
multitude,10829
fame,10826
babylon,10815
natural,10810
hero,10805
necessary,10786
forgive,10774
streets,10764
guard,10758
clear,10751
thanks,10748
grew,10725
beheld,10710
nobody,10710
fury,10707
instead,10696
governor,10688
public,10665
mountains,10657
haley,10640
perfectly,10618
begin,10611
dog,10597
gavroche,10593
object,10574
captain,10559
slowly,10542
months,10525
hardly,10523
knowledge,10520
aside,10514
covenant,10512
promised,10491
forgotten,10490
although,10471
hate,10465
learned,10465
wound,10464
week,10452
different,10441
burn,10435
appear,10421
brooke,10413
touch,10400
wherein,10395
touched,10387
cloud,10360
cometh,10360
fyodor,10348
pain,10344
dressed,10336
closed,10324
fled,10319
married,10308
dmitri,10296
chamber,10286
lying,10283
iniquity,10282
fixed,10280
knees,10279
rising,10269
afterwards,10254
greeks,10250
possession,10239
alive,10237
justice,10215
pavlovitch,10192
meant,10181
shoulders,10161
distance,10142
putting,10138
blow,10115
duchess,10098
barricade,10097
fit,10088
fresh,10086
prayer,10079
trojan,10076
army,10052
glass,10039
enemy,10036
offerings,10029
teeth,10027
soft,10026
pair,10024
leaving,10010
despair,10009
especially,10006
sought,10004
inn,10003
throne,9997
sold,9996
therein,9985
built,9982
attention,9945
perceived,9945
sacred,9942
drawing,9931
sorry,9930
dream,9894
souls,9874
monks,9861
satisfaction,9859
temple,9858
shelby,9856
fauchelevent,9834
pharaoh,9828
broke,9819
wonder,9816
delight,9789
scene,9788
learn,9749
cassy,9744
quickly,9736
train,9732
character,9727
burst,9721
below,9714
concerning,9701
pity,9700
charge,9698
grief,9696
gates,9691
